DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,EL,2011,90,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,EL,2012,81.2,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,EL,2013,73,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,EL,2014,74.1,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,EL,2015,78.8,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,EL,2016,79.7,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,EL,2017,78,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,EL,2018,75.7,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,EL,2019,76.9,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,EL,2020,68.7,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,EL,2021,72.2,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,EL,2022,76.7,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,ES,2000,81.6,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,ES,2001,85.7,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,ES,2002,87,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,ES,2003,92.5,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,ES,2004,96.9,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,ES,2005,100,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,ES,2006,97.7,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,ES,2007,100.4,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,ES,2008,96.8,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,ES,2009,89.8,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,ES,2010,91.3,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,ES,2011,88.7,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,ES,2012,85.1,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,ES,2013,82.6,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,ES,2014,81.1,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,ES,2015,82,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,ES,2016,83.8,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,ES,2017,86.4,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,ES,2018,88.4,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,ES,2019,88.1,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,ES,2020,75.2,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,ES,2021,81.9,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,ES,2022,82.8,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,EU27_2020,2000,94.1,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,EU27_2020,2001,96.3,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,EU27_2020,2002,95.7,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,EU27_2020,2003,98.6,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,EU27_2020,2004,99.5,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,EU27_2020,2005,100,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,EU27_2020,2006,100.4,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,EU27_2020,2007,98.8,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,EU27_2020,2008,99.6,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,EU27_2020,2009,94.2,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,EU27_2020,2010,98.5,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,EU27_2020,2011,94.6,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,EU27_2020,2012,94.4,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,EU27_2020,2013,94.2,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,EU27_2020,2014,90.2,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,EU27_2020,2015,92.1,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,EU27_2020,2016,93.9,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,EU27_2020,2017,95.1,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,EU27_2020,2018,95.3,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,EU27_2020,2019,94.7,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,EU27_2020,2020,87,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,EU27_2020,2021,92.9,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,EU27_2020,2022,90.3,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,FI,2000,96.6,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,FI,2001,98.6,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,FI,2002,101,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,FI,2003,102.6,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,FI,2004,103.7,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,FI,2005,100,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,FI,2006,105.1,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,FI,2007,105.3,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,FI,2008,101.7,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,FI,2009,94.5,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,FI,2010,104,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,FI,2011,99.1,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,FI,2012,99.8,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,FI,2013,97.9,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,FI,2014,97.3,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,FI,2015,96,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,FI,2016,99.9,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,FI,2017,100.4,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,FI,2018,102.2,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,FI,2019,101,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,FI,2020,92.7,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,FI,2021,98.8,
